end_station_name,member_casual,total_trips_end_station
DuSable Lake Shore Dr & Diversey Pkwy,member,642
Michigan Ave & Madison St,casual,640
DuSable Lake Shore Dr & Ohio St,casual,639
Damen Ave & Cortland St,casual,638
Dearborn St & Adams St,member,635
Stetson Ave & South Water St,casual,634
Michigan Ave & 18th St,member,632
Southport Ave & Clybourn Ave,member,631
Stetson Ave & South Water St,member,631
Ellis Ave & 58th St,member,630
DuSable Lake Shore Dr & Belmont Ave,member,629
Southport Ave & Wrightwood Ave,casual,628
Wentworth Ave & Cermak Rd,casual,628
Pine Grove Ave & Irving Park Rd,casual,627
Field Blvd & South Water St,casual,626
Wood St & Taylor St (Temp),member,624
Clark St & Berwyn Ave,member,622
MLK Jr Dr & 29th St,member,620
Cityfront Plaza Dr & Pioneer Ct,casual,618
Honore St & Division St,member,615
Dusable Harbor,member,612
Throop St & Taylor St,member,610
DuSable Lake Shore Dr & Diversey Pkwy,casual,609
DuSable Lake Shore Dr & Monroe St,member,608
Michigan Ave & Madison St,member,607
Calumet Ave & 18th St,member,606
DuSable Lake Shore Dr & Wellington Ave,casual,606
Ashland Ave & Chicago Ave,member,605
Sheridan Rd & Montrose Ave,casual,604
Broadway & Berwyn Ave,member,602
Eckhart Park,member,602
Larrabee St & Oak St,member,602
Ashland Ave & Blackhawk St,member,597
Carpenter St & Huron St,member,597
Noble St & Milwaukee Ave,member,597
Rush St & Hubbard St,member,597
Michigan Ave & Pearson St,member,596
Wabash Ave & 16th St,member,593
Wabash Ave & Wacker Pl,member,592
Wacker Dr & Washington St,member,592
Franklin St & Lake St,casual,591
Shore Dr & 55th St,member,591
Broadway & Sheridan Rd,casual,590
Franklin St & Adams St (Temp),member,590
Wells St & Polk St,casual,586
Michigan Ave & 14th St,casual,585
Ada St & Washington Blvd,member,582
Clark St & Leland Ave,member,580
Orleans St & Merchandise Mart Plaza,casual,580
Southport Ave & Belmont Ave,member,575
Burling St & Diversey Pkwy,casual,574
Greenview Ave & Fullerton Ave,casual,572
Jefferson St & Monroe St,member,572
California Ave & Milwaukee Ave,casual,569
Daley Center Plaza,casual,567
Lake Shore Dr & Ohio St,casual,567
Southport Ave & Wellington Ave,casual,567
Honore St & Division St,casual,565
Clinton St & Lake St,casual,563
Paulina Ave & North Ave,member,563
Ashland Ave & Augusta Blvd,member,562
Sheridan Rd & Buena Ave,member,562
Field Museum,casual,561
Sheridan Rd & Irving Park Rd,casual,561
Broadway & Argyle St,member,551
Wabash Ave & Adams St,member,547
Burnham Harbor,casual,542
Lake Shore Dr & Wellington Ave,member,540
California Ave & Milwaukee Ave,member,539
Wabash Ave & Adams St,casual,539
Desplaines St & Randolph St,casual,536
Michigan Ave & 8th St,member,536
Financial Pl & Ida B Wells Dr,member,533
Clinton St & Roosevelt Rd,member,532
Lincoln Park Conservatory,member,532
Loomis St & Jackson Blvd,member,532
Michigan Ave & Ida B Wells Dr,casual,530
Canal St & Jackson Blvd,member,529
Clark St & Randolph St,casual,528
Lake Shore Dr & Diversey Pkwy,casual,528
Clarendon Ave & Junior Ter,casual,526
Racine Ave & Wrightwood Ave,member,526
Western Ave & Winnebago Ave,member,523
Adler Planetarium,member,519
State St & Harrison St,casual,519
Cannon Dr & Fullerton Ave,casual,518
Southport Ave & Belmont Ave,casual,518
Peoria St & Jackson Blvd,casual,515
Clark St & Winnemac Ave,casual,514
Halsted St & Maxwell St,member,510
Sheffield Ave & Willow St,casual,510
State St & Van Buren St,member,510
Damen Ave & Chicago Ave,casual,509
Milwaukee Ave & Wabansia Ave,casual,506
Lake Shore Dr & Belmont Ave,casual,505
Shedd Aquarium,member,502
Damen Ave & Division St,casual,499
Ashland Ave & Blackhawk St,casual,498
Walsh Park,member,497
Lake Shore Dr & Diversey Pkwy,member,496
Clybourn Ave & Division St,member,492
Racine Ave & Fullerton Ave,casual,491
Wells St & Walton St,member,491
Sheffield Ave & Kingsbury St,casual,486
Lake Shore Dr & Wellington Ave,casual,485
Ogden Ave & Chicago Ave,casual,483
Lakefront Trail & Wilson Ave,casual,482
DuSable Lake Shore Dr & Ohio St,member,481
Lincoln Ave & Roscoe St,casual,481
Clark St & Berwyn Ave,casual,479
Clinton St & Washington Blvd,casual,479
Clarendon Ave & Gordon Ter,casual,478
Larrabee St & North Ave,member,474
Calumet Ave & 33rd St,member,470
Canal St & Adams St,casual,470
Kedzie Ave & Milwaukee Ave,member,469
Dayton St & North Ave,casual,468
Lake Shore Dr & Monroe St,member,468
Greenview Ave & Diversey Pkwy,member,464
Southport Ave & Irving Park Rd,member,464
Ellis Ave & 60th St,casual,461
Western Ave & Winnebago Ave,casual,461
Wood St & Chicago Ave,member,460
Larrabee St & Division St,casual,457
Lakefront Trail & Wilson Ave,member,455
Marine Dr & Ainslie St,member,451
Broadway & Granville Ave,member,450
Kimbark Ave & 53rd St,casual,450
Woodlawn Ave & 55th St,member,450
Franklin St & Adams St (Temp),casual,445
Dearborn St & Van Buren St,member,444
Halsted St & Willow St,casual,444
Emerald Ave & 31st St,member,442
Franklin St & Chicago Ave,casual,441
Sangamon St & Washington Blvd,casual,441
State St & Pearson St,casual,440
Clark St & Bryn Mawr Ave,member,437
Clifton Ave & Armitage Ave,casual,435
Lake Shore Dr & Belmont Ave,member,435
Broadway & Thorndale Ave,member,434
Lake Park Ave & 56th St,member,434
Western Ave & Leland Ave,member,434
Halsted St & Roosevelt Rd,member,431
Southport Ave & Clybourn Ave,casual,431
Paulina Ave & North Ave,casual,430
Canal St & Madison St,casual,429
Damen Ave & Thomas St (Augusta Blvd),member,429
Rush St & Hubbard St,casual,429
Elizabeth (May) St & Fulton St,member,428
Broadway & Ridge Ave,member,427
State St & Harrison St,member,427
Aberdeen St & Randolph St,casual,426
Racine Ave & 18th St,member,425
Clarendon Ave & Leland Ave,member,424
Ellis Ave & 53rd St,member,424
Larrabee St & Menomonee St,member,424
Elston Ave & Cortland St,member,422
Lincoln Ave & Belmont Ave,casual,422
Morgan Ave & 14th Pl,member,418
Carpenter St & Huron St,casual,417
Wentworth Ave & Cermak Rd,member,417
University Ave & 57th St,casual,416
Ashland Ave & Grace St,member,415
Eckhart Park,casual,414
Lake Shore Dr & Ohio St,member,414
Larrabee St & Kingsbury St,casual,413
Orleans St & Chestnut St (NEXT Apts),casual,412
Ashland Ave & Wellington Ave,member,410
Delano Ct & Roosevelt Rd,member,410
Racine Ave & Congress Pkwy,member,410
Larrabee St & Armitage Ave,casual,409
Cornell Ave & Hyde Park Blvd,member,405
Ashland Ave & Wrightwood Ave,member,403
Western Ave & Fillmore St,member,403
Clark St & Ida B Wells Dr,member,399
Damen Ave & Leland Ave,member,398
